,feat_above_sma200,feat_golden_cross,feat_adx_14,feat_days_below_sma200,feat_vix_percentile_60d,feat_trend_strength_20d
2006-12-08,1.0,1.0,28.32217529734762,0.0,0.8833333333333333,0.00025656368305910425
2006-12-11,1.0,1.0,26.668153165755424,0.0,0.18333333333333332,-0.00010938622813923041
2006-12-12,1.0,1.0,25.53413404853595,0.0,0.16666666666666666,-0.00043876818447680576
2006-12-13,1.0,1.0,24.481116296832152,0.0,0.1,-0.0005858419594722494
2006-12-14,1.0,1.0,23.091618497978892,0.0,0.05,-0.00050210005902537
2006-12-15,1.0,1.0,22.206506487809758,0.0,0.08333333333333333,-0.00034624007156902294
2006-12-18,1.0,1.0,21.097118317205734,0.0,0.2,-0.00034030230307740216
2006-12-19,1.0,1.0,20.82904411498307,0.0,0.15,-0.0003345309187083126
2006-12-20,1.0,1.0,20.459046780415285,0.0,0.15,-0.00034091903602205374
2006-12-21,1.0,1.0,20.869801972060113,0.0,0.21666666666666667,-0.000322382818136957
2006-12-22,1.0,1.0,21.65097514516839,0.0,0.7166666666666667,-0.0004364504460700854
2006-12-26,1.0,1.0,22.446373938195816,0.0,0.6666666666666666,-0.0007951326676965286
2006-12-27,1.0,1.0,22.428249794501077,0.0,0.2833333333333333,-0.0010114702578679963
2006-12-28,1.0,1.0,22.49539888280545,0.0,0.5166666666666667,-0.001182221869471683
2006-12-29,1.0,1.0,21.94406020652787,0.0,0.85,-0.0013114331390731457
2007-01-03,1.0,1.0,22.42821514233799,0.0,0.95,-0.0015207984169849293
2007-01-04,1.0,1.0,22.48981681779825,0.0,0.8166666666666667,-0.0012051220790415128
2007-01-05,1.0,1.0,22.547018373582777,0.0,0.9666666666666667,-0.0009260893265929154
2007-01-08,1.0,1.0,22.137367977120988,0.0,0.9166666666666666,-0.0006691183327273934
2007-01-09,1.0,1.0,21.31008304470823,0.0,0.9,-0.000526998497580408
2007-01-10,1.0,1.0,19.914762215258694,0.0,0.7833333333333333,-0.00015991412955203714
2007-01-11,1.0,1.0,19.73083712628084,0.0,0.4666666666666667,0.0003767740943171309
2007-01-12,1.0,1.0,19.745138018912,0.0,0.11666666666666667,0.0008552614527091631
2007-01-16,1.0,1.0,19.844861241212435,0.0,0.38333333333333336,0.0013048303520548001
2007-01-17,1.0,1.0,19.16761628535833,0.0,0.26666666666666666,0.0017759827611444933
2007-01-18,1.0,1.0,18.787742870899148,0.0,0.5,0.0020125747450982505
2007-01-19,1.0,1.0,18.500388946334702,0.0,0.21666666666666667,0.0020949477910201597
2007-01-22,1.0,1.0,18.858687000422837,0.0,0.43333333333333335,0.001991645681625159
2007-01-23,1.0,1.0,19.2064503551588,0.0,0.21666666666666667,0.0017815295074291816
2007-01-24,1.0,1.0,18.719086040795354,0.0,0.016666666666666666,0.001666354632466268
2007-01-25,1.0,1.0,18.593791789161447,0.0,0.6833333333333333,0.0012204064801283282
2007-01-26,1.0,1.0,18.946895262498547,0.0,0.6166666666666667,0.0007406617516209975
2007-01-29,1.0,1.0,19.072057771627808,0.0,0.7833333333333333,0.00033309577510050125
2007-01-30,1.0,1.0,19.188280101533543,0.0,0.55,-0.0001528577455590444
2007-01-31,1.0,1.0,18.28267580183596,0.0,0.26666666666666666,-0.0004927230938303028
2007-02-01,1.0,1.0,16.985942912300015,0.0,0.23333333333333334,-0.0008605604373830417
2007-02-02,1.0,1.0,15.781833800588066,0.0,0.11666666666666667,-0.0009040939978124461
2007-02-05,1.0,1.0,14.9239739535829,0.0,0.35,-0.0010431227113768227
2007-02-06,1.0,1.0,14.348810159836654,0.0,0.43333333333333335,-0.0012008568294715378
2007-02-07,1.0,1.0,13.799622448855777,0.0,0.26666666666666666,-0.0011443930753097598
2007-02-08,1.0,1.0,13.28966243151639,0.0,0.3333333333333333,-0.0009296587135789539
2007-02-09,1.0,1.0,12.998344817456015,0.0,0.6666666666666666,-0.0007381713298663538
2007-02-12,1.0,1.0,13.006316681777793,0.0,0.85,-0.0004678815604622497
2007-02-13,1.0,1.0,12.730438370845361,0.0,0.3,-0.00010114168039097883
2007-02-14,1.0,1.0,12.69568684333874,0.0,0.2,0.00041353363522771846
2007-02-15,1.0,1.0,12.930962555370654,0.0,0.18333333333333332,0.0007222141015706342
2007-02-16,1.0,1.0,13.149432859400289,0.0,0.08333333333333333,0.0009943779212087285
2007-02-20,1.0,1.0,13.876415249261006,0.0,0.2,0.0011761358756549444
2007-02-21,1.0,1.0,14.706807165385003,0.0,0.15,0.0013217369449153183
2007-02-22,1.0,1.0,16.028402276220646,0.0,0.13333333333333333,0.0017328644727271916
2007-02-23,1.0,1.0,17.224525564959443,0.0,0.4,0.0018717233443478127
2007-02-26,1.0,1.0,17.42996602851756,0.0,0.6833333333333333,0.0018372958365158365
2007-02-27,1.0,1.0,17.90686007231107,0.0,1.0,0.0012220856609843182
2007-02-28,1.0,1.0,18.509181969786507,0.0,0.9833333333333333,0.0005944928040650726
2007-03-01,1.0,1.0,19.825922180578253,0.0,0.9833333333333333,7.600719058803584e-05
2007-03-02,1.0,1.0,21.048609519170586,0.0,1.0,-0.0006633817519702323
2007-03-05,1.0,1.0,22.590469085781507,0.0,1.0,-0.0014126056967518126
2007-03-06,1.0,1.0,23.58306940099024,0.0,0.95,-0.0018322355648889572
2007-03-07,1.0,1.0,24.504769693684064,0.0,0.9,-0.0023183540149275604
2007-03-08,1.0,1.0,24.736458131292117,0.0,0.8833333333333333,-0.0024866090947571603
2007-03-09,1.0,1.0,25.19915332977508,0.0,0.8666666666666667,-0.0026377953039457393
2007-03-12,1.0,1.0,25.628798871223548,0.0,0.85,-0.0028314235317716684
2007-03-13,1.0,1.0,26.622111398718875,0.0,0.95,-0.0034252487404601096
2007-03-14,1.0,1.0,27.834802504460896,0.0,0.9333333333333333,-0.003597792315239824
2007-03-15,1.0,1.0,28.792327971239583,0.0,0.9166666666666666,-0.003559024721345386
2007-03-16,1.0,1.0,29.813343698441336,0.0,0.9166666666666666,-0.0033809109569996085
2007-03-19,1.0,1.0,29.767951439479702,0.0,0.8166666666666667,-0.0030042153037038843
2007-03-20,1.0,1.0,29.205007218774586,0.0,0.75,-0.0023684704529505244
2007-03-21,1.0,1.0,27.34295168134573,0.0,0.7333333333333333,-0.001351249695691899
