,feat_volume_ratio,feat_volume_trend_5d,feat_obv_roc_10d,feat_vol_price_divergence
2017-02-22,0.7274775045351338,-817970.0000000014,0.04170645599318348,1
2017-02-23,1.0428468185688629,132859.99999999945,0.03181538934235687,1
2017-02-24,1.102103046590475,513099.9999999983,0.03198380217859386,0
2017-02-27,0.7170725939938519,-642820.0000000008,0.031230744962117692,1
2017-02-28,1.0166702038748814,349509.99999999907,0.019674327796823356,1
2017-03-01,1.5492087955219394,1462369.9999999993,0.022573807991744778,0
2017-03-02,1.2079279314187252,1645889.9999999988,0.01053411762335695,0
2017-03-03,0.8343025429669427,678079.9999999991,0.01970032619693393,1
2017-03-06,0.7422865452462603,-2123590.0000000005,0.010920056374495961,0
2017-03-07,0.9454593140633482,-2855100.000000001,0.00022358441649474083,1
2017-03-08,0.9674464925618659,-657260.0000000003,0.0013653090483148132,0
2017-03-09,1.2472403969701853,1801499.9999999988,0.013391884462660035,0
2017-03-10,1.2941207722481796,2514719.9999999995,0.014341953276682275,0
2017-03-13,0.6395110644841515,-339200.00000000076,0.013891979365746286,1
2017-03-14,0.8483461132572347,-1363630.0000000014,0.014768761210460574,1
2017-03-15,1.3481451138933909,-419530.00000000204,0.01368956735597714,0
2017-03-16,1.0938958969643504,504689.9999999991,0.014240074208925176,0
2017-03-17,1.2360151934204142,2544339.9999999986,0.003336329081405871,1
2017-03-20,0.5976975053942537,-930360.0000000008,0.010239310578700974,1
2017-03-21,2.0164225081357268,1791349.9999999984,0.003925195897665966,1
2017-03-22,1.5663173513267012,3604859.9999999977,0.008078168168593542,1
2017-03-23,1.0821663679547862,1722709.9999999986,-0.004707289820732824,0
2017-03-24,1.2096719613559748,1019459.9999999994,-0.004354533772683364,0
2017-03-27,0.9566324284742167,-4094929.9999999995,-0.001969861537985725,1
2017-03-28,1.2062401145938024,-1275130.0000000016,0.009628583571010738,0
2017-03-29,0.7192774488157498,-1244910.0000000014,0.0068134430572855,1
2017-03-30,0.8529007949768508,-1851280.0000000002,0.01746350333185079,0
2017-03-31,1.0348194252776448,-489150.00000000134,0.01800882479529679,1
2017-04-03,1.199560571601092,608819.9999999984,0.0075342618159139965,1
2017-04-04,0.6818491749624983,698789.9999999991,0.022963724981901242,1
2017-04-05,1.5642536722666902,2539619.9999999986,0.0038601960322532367,1
2017-04-06,0.9248223927217172,629249.9999999987,0.016049409841499506,1
